Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
CIVL 4610,Introduction to Data Analytics for Smart Transportation Systems,3 Credit(s),COMP 1021 OR COMP 1022P OR COMP 2011 OR COMP 2012H,,CIVL 3610,,,CIVL 4100I,,This course covers the role of stochasticity in transport systems and the methods used to account for this within transport infrastructure assessment@ with a particular focus on the application of data analysis methods. The course introduces how to analyze the performance of public transport systems and road network using classic queuing theory and travel time reliability concepts. The course will complement skills learnt in the other transport courses to provide a well-rounded knowledge of smart transport planning and management. The focus is on the application of transport models in real world settings using real data. Students have the opportunity to work with large open source data in two experiential-learning projects. The course also develops skills for working with data and managing collaborative projects.,@
CIVL 4620,Transportation System Operations,3 Credit(s),CIVL 3610,,,,,,,Transportation economics@ land use and transportation system@ queuing theory and traffic flow analysis@ intersection control and design@ urban transit operations and management.,@
CIVL 4700,Engineering Geology,3 Credit(s),,,,,,,,This course introduces fundamental knowledge in engineering geology and related engineering topics@ including the earth system and tectonics@ rock-forming minerals and clay minerals@ igneous / sedimentary / metamorphic rocks@ structural geology@ earthquakes@ surface processes and soil formation. It also includes field trips to Hong Kong GeoParks.,@
CIVL 4710,Soil Slope Engineering,3 Credit(s),,,CIVL 3740,,,,,This course aims to teach students to apply the fundamental principles of saturated and unsaturated soil mechanics to the analysis and design of slope stability. The course covers slope failure mechanisms@ transient seepage analysis@ measurement and selection of shear strength parameters@ historical and recent methods of slope stability analysis@ designs of slope stabilization measures and instrumentation.,@
CIVL 4750,Numerical Solutions to Geotechnical Problems,3 Credit(s),,,,,,,,Use of specific and general-purpose computer software to solve common geotechnical problems associated with empirical relationships@ seepage@ consolidation@ pile applications@ excavations@ and general soil behavior.  Brief introductions to and applications of finite difference@ finite element and other numerical solution techniques are included.,@
CIVL 4760,Introduction to Rock Mechanics,3 Credit(s),,,CIVL 3740,,,,,This course introduces basic concepts of rock mechanics applied to geotechnical engineering; topics includes: index properties and classification of rocks@ rock strength and failure criteria@ initial stresses in rocks@ rock mass properties@ underground openings in rocks@ rock slopes@ rock foundations and stabilization of rock mass.,@
CIVL 4810,Construction Materials Technology,3 Credit(s),CIVL 2810,CIVL 5840,,,,,,Constituents of concrete; failure mechanisms and mechanical properties; advanced cementitious composites: high strength@ fiber@ polymer@ high performance; fibrous composite materials: composition@ anisotrophic behavior@ engineering constant@ failure criteria; non-destructive evaluation: wave@ scan@ ultrasonic@ acoustic emission@ infrared thermography.,@
CIVL 4900,Directed Studies,1-4 Credit(s),,,,,,,,Specialist courses where instruction is generally given on a one-to-one basis. Graded by letter or P/F subject to different offerings. May be graded PP.,@
CIVL 4910,Civil and Environmental Engineering Final Year Project,6 Credit(s),,CIVL 4920,,,,,,The two-term Final Year Project involves applications of civil and environmental engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems. The credit load will be spread over two terms. For CIVL and CIEV students in their final year of study only. May be graded PP.,@
CIVL 4920,Civil and Environmental Engineering Final Year Thesis,6 Credit(s),,CIVL 4910,,,,,,The two-term Final Year Thesis is for the students of CIVL and CIEV Research Option who are interested in experiencing research at the undergraduate level. The Final Year Thesis involves applications of civil engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems. The credit load will be spread over two terms. For CVL and CIEV students in their final year of study only. May be graded PP.,@
CIVL 4950,Civil Engineering Capstone Design Project,3 Credit(s),,,LANG 4033,,,,,This course transforms engineering students into student engineers through execution of a full-scale authentic design project@ under the direct guidance of a team of professional engineers. The capstone project involves the integration of prior design knowledge@ teamwork and communication skills to make competent design decisions in civil engineering workplace. Design topics may include project planning@ feasibility studies@ environmental impact assessments@ site development@ foundation design@ structural design@ transportation engineering@ cost estimating@ contract document preparation@ and construction project management. Students should have successfully completed the third year of undergraduate study.,@
COMP 1001,Exploring Multimedia and Internet Computing,3 Credit(s),,ISOM 2010@ any COMP courses of 2000-level or above,,,[BLD] Blended learning,,,This course is an introduction to computers and computing tools. It introduces the organization and basic working mechanism of a computer system@ including the development of the trend of modern computer system. It covers the fundamentals of computer hardware design and software application development. The course emphasizes the application of the state-of-the-art software tools to solve problems and present solutions via a range of skills related to multimedia and internet computing tools such as internet@ e-mail@ WWW@ webpage design@ computer animation@ spread sheet charts/figures@ presentations with graphics and animations@ etc. The course also covers business@ accessibility@ and relevant security issues in the use of computers and Internet.,@
COMP 1021,Introduction to Computer Science,3 Credit(s),,COMP 1022P@ COMP 1022Q (prior to 2020-21)@ COMP 2011@ COMP 2012H,,,,,,This course introduces students to the world of Computer Science. Students will experience a range of fun and interesting areas from the world of computing@ such as game programming@ web programming@ user interface design and computer graphics. These will be explored largely by programming in the Python language.,@
COMP 1022P,Introduction to Computing with Java,3 Credit(s),,COMP 1021@ COMP 1022Q (prior to 2020-21)@  COMP 2011@ COMP 2012H@ ISOM 3320,,,[SPO] Self-paced online delivery,,,This course is designed to equip students with the fundamental concepts of programming elements and data abstraction using Java. Students will learn how to write procedural programs using variables@ arrays@ control statements@ loops@ recursion@ data abstraction and objects using an integrated development environment.,@
COMP 1029A,Introduction to Mobile Application Development Using Android,1 Credit(s),COMP 1021 OR COMP 1022P OR COMP1022Q,,,,,,,This course provides a basic introduction to mobile application development using the Android platform. It is intended for students who have some prior programming experience@ but wish to learn the basics of mobile application development. The course will introduce them to the Android SDK and development environment@ Android application components: Activities and their lifecycle@ UI design@ Multimedia@ and 2D graphics support in Android. Students explore these concepts through self-learning course materials and guided laboratory exercises. Graded P or F.,@
